
picturesimilarity
11/6/2018	10:52:37 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group		02	Study1	Ratings, 1138	Image 1 (33, trait_basket.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1138	Image 2 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1138	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4350	
Main Group		02	Study1	Ratings, 1027	Image 1 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1027	Image 2 (12, lily_inappropriate.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1027	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	10865	
Main Group		02	Study1	Ratings, 1029	Image 1 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1029	Image 2 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1029	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	8304	
Main Group		02	Study1	Ratings, 334	Image 1 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 334	Image 2 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 334	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2601	
Main Group		02	Study1	Ratings, 847	Image 1 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 847	Image 2 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 847	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4117	
Main Group		02	Study1	Ratings, 951	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 951	Image 2 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 951	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	3846	
Main Group		02	Study1	Ratings, 930	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 930	Image 2 (20, riddle_grape.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 930	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	5100	
Main Group		02	Study1	Ratings, 1187	Image 1 (34, TRANSpoRt_orgANIC.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1187	Image 2 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1187	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	8169	
Main Group		02	Study1	Ratings, 1134	Image 1 (33, trait_basket.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1134	Image 2 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1134	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2360	
Main Group		02	Study1	Ratings, 742	Image 1 (22, sense_scandalous.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 742	Image 2 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 742	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2157	
Main Group		02	Study1	Ratings, 1033	Image 1 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1033	Image 2 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1033	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	3445	
Main Group		02	Study1	Ratings, 1196	Image 1 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1196	Image 2 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 1196	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	3172	
Main Group		02	Study1	Ratings, 212	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 212	Image 2 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 212	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2108	
Main Group		02	Study1	Ratings, 939	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 939	Image 2 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 939	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2693	
Main Group		02	Study1	Ratings, 591	Image 1 (17, publicity_commemorate.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 591	Image 2 (31, technology_burst.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 591	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2563	
Main Group		02	Study1	Ratings, 923	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 923	Image 2 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 923	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2626	
Main Group		02	Study1	Ratings, 640	Image 1 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 640	Image 2 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 640	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2691	
Main Group		02	Study1	Ratings, 931	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 931	Image 2 (21, sausage_selection.jpg)			(any response)	NR	0	
Main Group		02	Study1	Ratings, 931	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2757	
Main Group		02	Study1	Ratings, 811	Image 1 (24, shareholder_air.jpg)			(any response)	NR	0	
